Medication,"Contraindications (CI), drug interactions (DI) or cautions",Adverse Effects,Initial dose; typical dose,Canadian brands,Therapeutic area,Source of suggestion,Evidence package,Decision date
benztropine,"CI: hypersensitivity; angle-closure glaucoma; myasthenia gravis DI: phenothiazines, haloperidol, or other drugs with anticholinergic/antidopaminergic activity, cholinesterase inhibitors, potassium chloride supplements","tachycardia, paralytic ileus, constipation, nausea, vomiting, dry mouth, toxic psychosis, blurred vision, dilated pupils, urinary retention, dysuria, allergic reaction, heat stroke, hyperthermia, fever",Parkinson's disease: initial dose 0.5-1mg daily; usual dose 1-2mg twice daily; max dose 6mg/day                         Parkinsonian symptoms: 1-4mg once or twice daily,"Benztropine Omega,Kynesia,PMS-Benztropine",antiparkinsonism medicines,Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Benztropine_CA.docx,"Added on March, 2016"
betamethasone,no known CI or DI but may produce reversible hypothalamic-pituitary-adrenal (HPA) axis suppression if large amounts used For Skin use only,"burning, itching, irritation, dryness, folliculitis, hypertrichosis, acneiform eruptions, hypopigmentation, perioral/allergic contact dermatitis, skin maceration, secondary infection, skin atrophy, striae, miliaria",0.05% two times a day ,"Betaderm,Beteflam,Betnesol,Celestoderm V,Celestoderm V/2,Diprolene,Diprosone,Luxiq,Prevex B,ratio-Ectosone,Ratio-Topilene,Ratio-Topisone,Rivasone,Rolene,Rosone,Taro-Sone,Valisone Scalp Lotion",dermatological (topical),WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
bevacizumab,,"venous thromboembolism, hypertension, gastrointestinal perforation, abdominal pain, constipation, vomiting, fever, hemoptysis, gastrointestinal bleeding, epistaxis",,,,Suggestions from clinicians,http://cleanmeds.ca/wp-content/uploads/2017/03/Anti-VEGF-Evidence-Report.pdf,"Added on March, 2017"
bisoprolol,"CI: COPD, asthma, bradycardia, AV block, 2nd/3rd deg block or PR>0.24sec, renal and hepatic dysfunction, uncompensated HF, peripheral arterial disease, pheochromocytoma DI: amiodarone, calcium channel blockers (CCB), cimetidine (increases effect), digoxin (decreases HR), NSAIDs (increase BP and decrease renal function), phenobarbital (decrease efficacy)","hypotension, bronchospasm, dizziness, lightheadedness, fatigue, nausea, impotence",5mg; 5-20mg one time a day,"Apo-Bisoprolol,Ava-Bisoprolol,Mylan-Bisoprolol,Novo-Bisoprolol,PHL-Bisoprolol,PMS-Bisoprolol,PRO-Bisoprolol,Sandoz-Bisoprolol,Teva-Bisoprolol",cardiovascular medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
budesonide,"CI: fungal or tuberculosis infection DI: cimetidine, ketoconazole, omperazole","itching throat, sore throat, cough, fatigue, nausea, dizziness, headache",64ug/metered dose nasal spray; 2 sprays per nostril one time  a day,"Mylan-Budesonide AQ,Rhinocort Aqua,Rhinocort Turbuhaler",medicines acting on the respiratory tract,WHO Model List of Essential Medicines  ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
candesartan,,"hypotension, cough, headache, dizziness, fatigue, angioedema, hyperkalemia",4 or 8mg; 8-32 mg once daily,"ACH Candesartan,Apo-Candesartan,Atacand,CO Candesartan,DOM-Candesartan,JAMP-Candesartan,Mylan-Candesartan,PMS-Candesartan,Ran-Candesartan,Sandoz-Candesartan,Teva-Candesartan",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Candesartan_C.docx,"Added on August, 2015"
carbamazepine,"CI: hepatic (porphyria) disease DI: clarithro/erythromycin, danazol, diltiazem, felodipine, fluoxetine, fluvoxamine, grapefruit juice, verapamil, valproate (induces P450 3A4 system)","nausea, vomiting, drowsy, dizzy, unsteady, pruritic rash",100mg twice a day ,"Apo-Carbamazepine,Dom-Carbamazepine,Mapezine,Mylan-Carbamazepine CR,Nu-Carbamazepine,PMS-Carbamazepine,Sandoz-Carbamazepine,Taro-Carbamazepine Chewable,Tegretol,Teva-Carbamazepine",anticonvulsive medicines, WHO Model List of Essential Medicines,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
cephalexin,"CI: beta-hemolytic streptococcal and pneumococcal infections, renal impairment DI: probenecid, metformin","diarrhea, allergic reactions, dyspepsia, gastritis, abdominal pain",250mg,"Apo-Cephalex,Dom-Cephalexin,Keflex,PMS-Cephalexin,Teva-Cephalexin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015 "
cetirizine,"CI: hypersensitivity, severe renal impairment DI: sedatives, alcohol","headaches, dry mouth, sleepiness",10mg once daily,"Aller-Relief [OTC],Apo-Cetirizine [OTC],Extra Strength Allergy Relief [OTC],PMS-Cetirizine,Reactine,Reactine [OTC]",antiallergics and medicines used in anaphylaxis,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Cetirizine_C.docx,"Added on August, 2015"
chlorthalidone,"CI: anuria, severe sulphur allergy, symptomatic hyperuricemia, hyponatremia DI: Digoxin, lithium, NSAID, steroids","dizziness, vertigo, headache, abdominal pain, nausea, increases calcium, uric acid, glucose, cholesterol, triglycerides",12.5mg once daily,Apo-Chlorthalidone,cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Chlorthalidone_C.docx,"Added on August, 2015"
ciprofloxacin,,"nausea, diarrhea, skin photosensitivity",500mg twice a day,"ACT Ciprofloxacin,Apo-Ciproflox,Auro-Ciprofloxacin,Cipro,Cipro XL,Ciprofloxacin Injection,Ciprofloxacin Injection USP,Ciprofloxacin Intravenous Infusion,Ciprofloxacin Intravenous Infusion BP,Dom-Ciprofloxacin,JAMP-Ciprofloxacin,Mar-Ciprofloxacin,Mint-Ciproflox,Mint-Ciprofloxacin,Mylan-Ciprofloxacin,PHL-Ciprofloxacin,PMS-Ciprofloxacin,PMS-Ciprofloxacin XL,PRO-Ciprofloxacin,RAN-Ciproflox,ratio-Ciprofloxacin,Riva-Ciprofloxacin,Sandoz-Ciprofloxacin,Septa-Ciprofloxacin,Taro-Ciprofloxacin,Teva-Ciprofloxacin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
clarithromycin,,"vomiting, diarrhea, nausea, abdominal pain, dyspepsia, headache, skin rash",250 to 500 mg every 12 hours or 1000 mg (two 500 mg extended-release tablets) once daily,Accel-Clarithromycin; Apo-Clarithromycin; Apo-Clarithromycin XL; Biaxin; Biaxin BID; Biaxin XL; Dom-Clarithromycin; Mylan-Clarithromycin; PMS-Clarithromycin; RAN-Clarithromycin; Riva-Clarithromycin; Sandoz-Clarithromycin; Teva-Clarithromycin,anti-infective medicines, WHO Model List of Essential Medicines ,http://cleanmeds.ca/wp-content/uploads/2017/02/19th-WHO-Model-List-of-Essentail-Medicines-April-2015.pdf,"Added on February, 2017"
clindamycin,"CI: regional enteritis, ulcerative colitis, history ofclostridium difficile-associated diarrhea DI: erythromycin","clostridium difficile-associated disease, nausea, vomiting",150mg,"po-Clindamycin,Auro-Clindamycin,Ava-Clindamycin,Clindamycin Injection,Clindamycin Injection SDZ,Clindamycin Injection, USP,Clindamycin IV Infusion,Clindamycine,Dalacin C,Mylan-Clindamycin,PMS-Clindamycin,Riva-Clindamycin,Teva-Clindamycin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
clopidogrel,"CI:active bleeding, hypersensitivity, not for use if breast feeding DI:NSAIDs, warfarin, SSRIs, SNRIs, proton pump inhibitors Stop 5 days prior to surgery","bruising, bleeding",75mg once daily,"Abbott-Clopidogrel,Accel-Clopidogrel,ACT Clopidogrel,Apo-Clopidogrel,Auro-Clopidogrel,Dom-Clopidogrel,JAMP-Clopidogrel,Mar-Clopidogrel,Mint-Clopidogrel,Mylan-Clopidogrel,Plavix,PMS-Clopidogrel,RAN-Clopidogrel,Riva-Clopidogrel,Sandoz-Clopidogrel,Teva-Clopidogrel",cardiovascular medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
clotrimazole,,"erythema, stinging, blistering, peeling, edema, pruritus, urticaria, burning, skin irritation",1% to cover area 1-2 times a day,"Canesten Topical,Canesten Vaginal,Clotrimaderm,Trivagizole-3",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
cloxacillin,CI: renal impairment DI: probenecid,"allergic reactions, nausea, vomiting, diarrhea, stomatitis, black or hairy tongue",500mg four times a day,"Apo-Cloxi,Cloxacillin for injection,Novo-Cloxin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
clozapine,"myeloproliferative disorders, toxic or idiosyncratic agranulocytosis or severe granulocytopenia, active liver disease, hepatic failure, severe CNS depression or comatose states, severe renal or cardiac disease, paralytic ileus, uncontrolled epilepsy, previous hypersensitivity","drowsiness, dizziness/vertigo, headache, tremor,  salivation, sweating, dry mouth, visual disturbances, tachycardia, hypotension, syncope, constipation, nausea, fever",12.5-25mg once daily; 300-450mg once daily  ,"Apo-Clozapine,Clozaril,Gen-Clozapine",medicines for mental and behavioural disorders,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Clozapine_C.docx,"Added on August, 2015"
conjugated estrogens,"CI: hypersensitivity, undiagnosed abnormal genital bleeding, current or history of DVT/PE, breast cancer, estrogen-dependent tumor, hepatic impairment, known thrombophilic disorders  DI: anastrozole, anticoagulants","bloating, headache, nausea, chloasma, breast tenderness, breakthrough bleeding/spotting",0.3-1.25mg once daily,"C.E.S.,Congest,PMS-Conjugated Estrogens C.S.D.,Premarin","hormones, other endocrine medicines, and contraceptives",Commonly prescribed medication ,http://cleanmeds.ca/wp-content/uploads/2016/08/Conjugated Estrogen_CA.docx,"Added on March, 2016"
dabigatran,,"dyspepsia, gastritis-like symptoms, hemorrhage, abdominal pain",150 mg twice daily,,,Suggestion from a pharmaceutical company,http://cleanmeds.ca/wp-content/uploads/2016/08/Dabigatran_P.docx,"Added on August, 2016"
dexamethasone,"CI:ear: viral infections of external canal, including herpes simplex infections CI:eye: epithelial herpes simplex (dendritic keratitis), vaccinia, varicella Eye: Consider Opthalmology consult if uncertain Prolonged use may result in ocular HTN and/or glaucoma","ear discomfort/pain/pruritus/debris/congestion, taste perversion, superimposed ear infection, glaucoma with optic nerve damage, visual acuity and field defects, cataract formation, secondary ocular infection, globe perforation","ear - 0.1% 4 drops twice a day, eye -0.1% 1 or 2 drops 4-6 times daily","Diodex,Maxidex,Ozurdex",medicines for pain and palliative care,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
diltiazem,"CI: hypotension, WPW, post-MI DI: CYP3A4, amiodarone, alcohol, carbamazepine, cyclosporine, digoxin, dofetilide, erythromycin, grapefruit juice, lithium,    simvastatin","palpitations, headache",120 or 240 mg once daily ,"ACT Diltiazem CD,ACT Diltiazem T,Apo-Diltiaz,Apo-Diltiaz CD,Apo-Diltiaz SR,Apo-Diltiaz TZ,Cardizem CD,Diltiazem Hydrochloride Injection,Diltiazem TZ,Diltiazem-CD,PMS-Diltiazem CD,Sandoz-Diltiazem CD,Sandoz-Diltiazem T,Teva-Diltiazem,Teva-Diltiazem CD,Teva-Diltiazem HCL ER Capsules,Tiazac,Tiazac XC",cardiovascular medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Diltiazem_C.docx,"Added on August, 2015"
dolutegravir,"CI:hypersensitivity to dolutegravir, concurrent use with dofetilideDI:Dofetilide,Fosphenytoin-Phenytoin,Nevirapine,Oxcarbazepine,Phenobarbital, Primidone, St John's Wort","fatigue, malaise, fat redistribution, immune reconstitiution syndrome, increased liver enzymes",50mg once daily,Tivicay,anti-infective medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Dolutegravir_C.docx,"Added on June, 2016"
domperidone,"CI: prolactin-releasing pituitary tumor, known existing prolongation of cardiac conduction intervals, particularly QT DI: ketoconazole, erythromycin, protease inhibitors, nefazodone, concomitant use with GT-prolonging drugs","serious ventricular arrhythmias or sudden cardiac death, particularly with doses >30 mg or when used in patients >60 years of age",10 mg three times a day,,,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Domperidone_C.docx,"Added on August, 2016"
donepezil,"CI: hypersensitivity to donepezil, piperidine derivatives, or any component of the formulation DI:QTc-Prolonging Agents,succinylcholine","insomina, nausea, diarrhea, infection",5 mg once daily,,,Commonly prescribed medication,http://cleanmeds.ca/wp-content/uploads/2016/08/Donepezil_AU.docx,"Added on August, 2016"
doxycycline,"CI:children, pregnancy DI:antacids, iron containing drugs, oral contraceptives, phenytoin, barbituates May cause permanent discoloration of the teeth if used during tooth development","anorexia, nausea, vomiting, hepatotoxicity, maculopapular /erythematosus rash, stevens-johnson syndrome, toxic epidermal necrolysis, urticaria, anaphylaxis, pericarditis, hemolytic anemia, thrombocytopenia, neutropenia, eosinophilia, photosensitivity",100mg twice a day,"Apo-Doxy,Apo-Doxy Tabs,Apprilon,Dom-Doxycycline,Doxycin,Doxytab,Periostat,PHL-Doxycycline,PMS-Doxycycline,Teva-Doxycycline,Vibramycin",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
efavirenz,"CI: Hypersensitivity (Stevens-Johnson syndrome; erythema multiforme; toxic skin eruptions) to efavirenz DI: Amodiaquine, Asunarevir,Axitinib, Azelastine, Bedaquiline,Cabamazepine,Elvitegravir, Itraconzole, Ketoconazole,Nevirapine, Nisoldipine","dizziness, fever, depression, insomnia, skin rash, increased serum cholesterol, increased HDL, increased triglyceride, fat restribution, hepatotoxicity, immune reconstitution syndrome",600 mg once daily,"Mylan-Efavirenz,Sustiva,Teva-Efavirenz",anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
eletriptan,"CI: coronary artery disease, WPW syndrome, uncontrolled HTN, TIA or stroke, peripheral vascular disease DI: SSRIs, SNRIs, TCAs, MAOIs (serotonin syndrome), ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, or nelfinavir","dizziness, somnolence, nausea, headache, paresthesia, dry mouth, chest pain",20mg once daily,Relpax,antimigraine medicines,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Eletriptan_C.docx,"Added on August, 2015"
emtricitabine,"CI:hypersensitivity to emtricitabine                                     DI: Ganciclovir-Valganciclovir, Lamivudine, Ribavirin","dizziness, headache, insomnia, skin rash, hyperpigmentation, nausea, vomiting, diarrhea, abdominal pain, infection, weakness, otitis media, cough, rhinitis, fat redistribution, immune reconstitution syndrome, lactic acidosis, hepatomegaly",200mg once daily,Emtriva,anti-infective medicines,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
epinephrine,"CI: do not use to counteract circulatory collapse or hypotension caused by phenothiazines DI: beta-blockers, cardiac glycosides, digitalis, diuretics, quinidine","anxiety, apprehensiveness, restlessness, tremor, weakness, dizziness, sweating, palpitations, pallor, nausea, vomiting, headache, respiratory difficulties",0.3 to 0.5 mg of undiluted drug intramuscularly,"Adrenalin,Allerject,Anapen,Anapen Junior,EpiPen,EpiPen Jr,Twinject",antiallergics and medicines used in anaphylaxis,WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
estradiol,"CI: hypersensitivity, undiagnosed abnormal genital bleeding, current or history of DVT/PE, breast cancer, estrogen-dependent tumor, hepatic impairment, known thrombophilic disorders DI: acetaminophen, anticonvulsants, ascorbic acid, atorvastatin, rifampin, troglitazone","bloating, headache, nausea, chloasma, breast tenderness, breakthrough bleeding/spotting","oral preparation: 0.5-2 mg once daily, vaginal cream: insert 2 to 4 g daily for 1 to 2 weeks, vaginal tablet: insert 1 tablet (10 mcg) once daily for 2 weeks","Climara,Depo-Estradiol,Divigel,Estradot,EstroGel,Menostar,Oesclim,Sandoz-Estradiol Derm 100,Sandoz-Estradiol Derm 50,Sandoz-Estradiol Derm 75","hormones, other endocrine medicines, and contraceptives",Commonly prescribed medication - oral preparation & suggestion from clinicians - intravaginal application,http://cleanmeds.ca/wp-content/uploads/2017/03/Estradiol_oral_intravagial_Both.pdf,oral preparation - added on March 2016 - oral preparation & intravaginal application - added on March 2017
ethinylestradiol/levonorgestrel,"CI: abnormal vaginal bleeding, estrogen dependent neoplasia (breast and endometiral cancer)",alteration in menses,30mcg once daily,"Alesse,Alysena,Aviane,Esme,Lutera,Min-Ovral,Ovima,Portia,Seasonale,Seasonique,Triquilar","hormones, other endocrine medicines, and contraceptives",WHO Model List of Essential Medicines ,http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1,"Added on August, 2015"
ferrous fumarate,"CI: hemosiderosis or hemochromatosis(iron overload), allergy to iron DI: antacids, bisphosphonates, calcium supplements, cholestyramine, levodopa, levothyroxine, quinolones","constipation,  dark stools, heartburn, nausea, vomiting",300mg once daily,Palafer,medicines affecting the blood,Suggestion from clinicians,http://cleanmeds.ca/wp-content/uploads/2016/08/Ferrous Fumarate_C.docx,"Added on August, 2015"
