"","Medication","Contraindications (CI), drug interactions (DI) or cautions","Adverse Effects","Initial dose; typical dose","Canadian brands","Therapeutic area","Source of suggestion","Evidence package","Decision date","estimate","standard-error","tvalue","pvalue","r_sq","adj_r_sq","ATC code primary","ATC code secondary","sum","maf"
"11","azithromycin","","diarrhea, nausea, vomiting, abdominal pain, hearing impairment, flatulence, headache, abnormal vision","indication-specific dosing (usual oral dosing range: 500 to 1000mg one time a day)","ACT-Azithromycin,Apo-Azithromycin,Apo-Azithromycin Z,Azithromycin for Injection,Azithromycin for Injection, USP,Dom-Azithromycin,GD-Azithromycin,Mylan-Azithromycin,Novo-Azithromycin,PHL-Azithromycin,PMS-Azithromycin,PRO-Azithromycine,Riva-Azithromycin,Sandoz-Azithromycin,Zithromax,Zithromax For Intravenous Injection,Zmax SR","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",-2.44559815682023,1.84896954804178,-1.32268168473101,0.188415290346113,0.843184845904423,0.838043365442273,"J01FA10","",112,0.817518248175182
"12","baclofen","CI: hypersensitivity DI: other central nervous system depressants","drowsiness, dizziness, weakness, fatigue, confusion, headache, insomnia, hypotension, nausea, constipation, urinary frequency","5mg 3 times daily; may increase gradually to maximum dose of 20mg three times daily","Apo-Baclofen,Dom-Baclofen,Lioresal,Lioresal D.S.,Lioresal Intrathecal,Mylan-Baclofen,Novo-Baclofen,PHL-Baclofen,PMS-Baclofen,ratio-Baclofen,Riva-Baclofen,VPI-Baclofen Intrathecal","medicines for pain and palliative care","Commonly prescribed medication","http://cleanmeds.ca/wp-content/uploads/2016/08/Baclofen_CA.docx","Added on March, 2016",-1.10885974502583,1.54775231411893,-0.716432296634654,0.475093659304593,0.841602513600281,0.836409153390455,"M03BX01","",46,0.335766423357664
"13","benzoyl peroxide","","skin irritation, redness, burning, itching, peeling, swelling","Apply once daily, may increase to 2-3 times daily if needed","Acetoxyl,Benoxyl,Benzac AC,Benzac W Gel,Benzac W Wash,Desquam-X,Oxyderm,PanOxyl,Solugel","dermatological (topical)","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Benzoyl Peroxide_C.docx","Added on August, 2015",-2.04559758332152,1.44247072697864,-1.41812069046709,0.1587048068283,0.843515619790593,0.838384984373892,"D10AE01","",66,0.481751824817518
"14","betamethasone","no known CI or DI but may produce reversible hypothalamic-pituitary-adrenal (HPA) axis suppression if large amounts used For Skin use only","burning, itching, irritation, dryness, folliculitis, hypertrichosis, acneiform eruptions, hypopigmentation, perioral/allergic contact dermatitis, skin maceration, secondary infection, skin atrophy, striae, miliaria","0.05% two times a day","Betaderm,Beteflam,Betnesol,Celestoderm V,Celestoderm V/2,Diprolene,Diprosone,Luxiq,Prevex B,ratio-Ectosone,Ratio-Topilene,Ratio-Topisone,Rivasone,Rolene,Rosone,Taro-Sone,Valisone Scalp Lotion","dermatological (topical)","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",-1.41620755880025,2.60104550120015,-0.544476272386162,0.587107583578906,0.841321688830991,0.836119121251679,"D07AC01","R01AD06",126,0.91970802919708
"15","bevacizumab","","venous thromboembolism, hypertension, gastrointestinal perforation, abdominal pain, constipation, vomiting, fever, hemoptysis, gastrointestinal bleeding, epistaxis","","","","Suggestions from clinicians","http://cleanmeds.ca/wp-content/uploads/2017/03/Anti-VEGF-Evidence-Report.pdf","Added on March, 2017",2.51582056138697,1.66502159808509,1.51098373995891,0.133378452297694,0.843858101050096,0.838738694527149,"L01XC07","",33,0.240875912408759
"16","bisoprolol","CI: COPD, asthma, bradycardia, AV block, 2nd/3rd deg block or PR>0.24sec, renal and hepatic dysfunction, uncompensated HF, peripheral arterial disease, pheochromocytoma DI: amiodarone, calcium channel blockers (CCB), cimetidine (increases effect), digoxin (decreases HR), NSAIDs (increase BP and decrease renal function), phenobarbital (decrease efficacy)","hypotension, bronchospasm, dizziness, lightheadedness, fatigue, nausea, impotence","5mg; 5-20mg one time a day","Apo-Bisoprolol,Ava-Bisoprolol,Mylan-Bisoprolol,Novo-Bisoprolol,PHL-Bisoprolol,PMS-Bisoprolol,PRO-Bisoprolol,Sandoz-Bisoprolol,Teva-Bisoprolol","cardiovascular medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",4.46233059554918,1.47708906303941,3.02103015126728,0.00306966299298882,0.852007209687336,0.847154987054134,"C07AB07","",48,0.35036496350365
"17","budesonide","CI: fungal or tuberculosis infection DI: cimetidine, ketoconazole, omperazole","itching throat, sore throat, cough, fatigue, nausea, dizziness, headache","64ug/metered dose nasal spray; 2 sprays per nostril one time  a day","Mylan-Budesonide AQ,Rhinocort Aqua,Rhinocort Turbuhaler","medicines acting on the respiratory tract","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",4.08876625398037,1.58779666141118,2.57511956874026,0.0112145151757444,0.849136222831685,0.844189869481904,"R01AD05","D07AC09",74,0.54014598540146
"18","candesartan","","hypotension, cough, headache, dizziness, fatigue, angioedema, hyperkalemia","4 or 8mg; 8-32 mg once daily","ACH Candesartan,Apo-Candesartan,Atacand,CO Candesartan,DOM-Candesartan,JAMP-Candesartan,Mylan-Candesartan,PMS-Candesartan,Ran-Candesartan,Sandoz-Candesartan,Teva-Candesartan","cardiovascular medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Candesartan_C.docx","Added on August, 2015",1.20093787985218,1.70546029567333,0.704172288794354,0.482667429903082,0.841579992435956,0.836385893827298,"C09CA06","",33,0.240875912408759
"19","carbamazepine","CI: hepatic (porphyria) disease DI: clarithro/erythromycin, danazol, diltiazem, felodipine, fluoxetine, fluvoxamine, grapefruit juice, verapamil, valproate (induces P450 3A4 system)","nausea, vomiting, drowsy, dizzy, unsteady, pruritic rash","100mg twice a day","Apo-Carbamazepine,Dom-Carbamazepine,Mapezine,Mylan-Carbamazepine CR,Nu-Carbamazepine,PMS-Carbamazepine,Sandoz-Carbamazepine,Taro-Carbamazepine Chewable,Tegretol,Teva-Carbamazepine","anticonvulsive medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",7.8885261221459,5.59977945743709,1.40872085804542,0.161461260216111,0.84348208271455,0.838350347721585,"N03AF01","",134,0.978102189781022
"20","cetirizine","CI: hypersensitivity, severe renal impairment DI: sedatives, alcohol","headaches, dry mouth, sleepiness","10mg once daily","Aller-Relief [OTC],Apo-Cetirizine [OTC],Extra Strength Allergy Relief [OTC],PMS-Cetirizine,Reactine,Reactine [OTC]","antiallergics and medicines used in anaphylaxis","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Cetirizine_C.docx","Added on August, 2015",0.357939399150982,1.47555011244961,0.242580306918045,0.808737881932643,0.841012793335175,0.835800098034689,"R06AE07","",57,0.416058394160584
"21","ciprofloxacin","","nausea, diarrhea, skin photosensitivity","500mg twice a day","ACT Ciprofloxacin,Apo-Ciproflox,Auro-Ciprofloxacin,Cipro,Cipro XL,Ciprofloxacin Injection,Ciprofloxacin Injection USP,Ciprofloxacin Intravenous Infusion,Ciprofloxacin Intravenous Infusion BP,Dom-Ciprofloxacin,JAMP-Ciprofloxacin,Mar-Ciprofloxacin,Mint-Ciproflox,Mint-Ciprofloxacin,Mylan-Ciprofloxacin,PHL-Ciprofloxacin,PMS-Ciprofloxacin,PMS-Ciprofloxacin XL,PRO-Ciprofloxacin,RAN-Ciproflox,ratio-Ciprofloxacin,Riva-Ciprofloxacin,Sandoz-Ciprofloxacin,Septa-Ciprofloxacin,Taro-Ciprofloxacin,Teva-Ciprofloxacin","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",6.29866384628794,5.631075486258,1.11855432619561,0.265527930453301,0.84255081856702,0.837388550323316,"J01MA02","S03AA07",133,0.970802919708029
"22","clarithromycin","","vomiting, diarrhea, nausea, abdominal pain, dyspepsia, headache, skin rash","250 to 500 mg every 12 hours or 1000 mg (two 500 mg extended-release tablets) once daily","Accel-Clarithromycin; Apo-Clarithromycin; Apo-Clarithromycin XL; Biaxin; Biaxin BID; Biaxin XL; Dom-Clarithromycin; Mylan-Clarithromycin; PMS-Clarithromycin; RAN-Clarithromycin; Riva-Clarithromycin; Sandoz-Clarithromycin; Teva-Clarithromycin","anti-infective medicines","WHO Model List of Essential Medicines","http://cleanmeds.ca/wp-content/uploads/2017/02/19th-WHO-Model-List-of-Essentail-Medicines-April-2015.pdf","Added on February, 2017",0.728402839266938,1.66809769670611,0.436666773598016,0.663124880536508,0.841184326120306,0.835977254845562,"J01FA09","",91,0.664233576642336
"23","clindamycin","CI: regional enteritis, ulcerative colitis, history ofclostridium difficile-associated diarrhea DI: erythromycin","clostridium difficile-associated disease, nausea, vomiting","150mg","po-Clindamycin,Auro-Clindamycin,Ava-Clindamycin,Clindamycin Injection,Clindamycin Injection SDZ,Clindamycin Injection, USP,Clindamycin IV Infusion,Clindamycine,Dalacin C,Mylan-Clindamycin,PMS-Clindamycin,Riva-Clindamycin,Teva-Clindamycin","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",0.225903439740409,1.66574774319509,0.135616836740899,0.892347706016049,0.840960083627149,0.835745660139515,"J01FF01","D10AF01",100,0.72992700729927
"24","clopidogrel","CI:active bleeding, hypersensitivity, not for use if breast feeding DI:NSAIDs, warfarin, SSRIs, SNRIs, proton pump inhibitors Stop 5 days prior to surgery","bruising, bleeding","75mg once daily","Abbott-Clopidogrel,Accel-Clopidogrel,ACT Clopidogrel,Apo-Clopidogrel,Auro-Clopidogrel,Dom-Clopidogrel,JAMP-Clopidogrel,Mar-Clopidogrel,Mint-Clopidogrel,Mylan-Clopidogrel,Plavix,PMS-Clopidogrel,RAN-Clopidogrel,Riva-Clopidogrel,Sandoz-Clopidogrel,Teva-Clopidogrel","cardiovascular medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",1.72872988355905,1.52908070293923,1.13056811209248,0.260454609781825,0.842585328742231,0.837424191979681,"B01AC04","",73,0.532846715328467
"25","clotrimazole","","erythema, stinging, blistering, peeling, edema, pruritus, urticaria, burning, skin irritation","1% to cover area 1-2 times a day","Canesten Topical,Canesten Vaginal,Clotrimaderm,Trivagizole-3","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",2.98769259301147,1.64521066125743,1.81599394130354,0.0718268940965292,0.845122663104272,0.840044717632281,"D01AC01","G01AF02",105,0.766423357664234
"26","cloxacillin","CI: renal impairment DI: probenecid","allergic reactions, nausea, vomiting, diarrhea, stomatitis, black or hairy tongue","500mg four times a day","Apo-Cloxi,Cloxacillin for injection,Novo-Cloxin","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",-0.164889480810466,1.62555524211798,-0.101435790392227,0.919371047755848,0.840949521781704,0.835734752004055,"J01CF02","",92,0.671532846715328
"27","clozapine","myeloproliferative disorders, toxic or idiosyncratic agranulocytosis or severe granulocytopenia, active liver disease, hepatic failure, severe CNS depression or comatose states, severe renal or cardiac disease, paralytic ileus, uncontrolled epilepsy, previous hypersensitivity","drowsiness, dizziness/vertigo, headache, tremor,  salivation, sweating, dry mouth, visual disturbances, tachycardia, hypotension, syncope, constipation, nausea, fever","12.5-25mg once daily; 300-450mg once daily","Apo-Clozapine,Clozaril,Gen-Clozapine","medicines for mental and behavioural disorders","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Clozapine_C.docx","Added on August, 2015",3.18158003607222,1.80218147383192,1.76540491746779,0.0799976269821679,0.844898387652962,0.839813088887485,"N05AH02","",60,0.437956204379562
"28","conjugated estrogens","CI: hypersensitivity, undiagnosed abnormal genital bleeding, current or history of DVT/PE, breast cancer, estrogen-dependent tumor, hepatic impairment, known thrombophilic disorders  DI: anastrozole, anticoagulants","bloating, headache, nausea, chloasma, breast tenderness, breakthrough bleeding/spotting","0.3-1.25mg once daily","C.E.S.,Congest,PMS-Conjugated Estrogens C.S.D.,Premarin","hormones, other endocrine medicines, and contraceptives","Commonly prescribed medication","http://cleanmeds.ca/wp-content/uploads/2016/08/Conjugated Estrogen_CA.docx","Added on March, 2016",-4.05787873663044,1.41494725991494,-2.86786571598038,0.00487049866170872,0.850982173598554,0.846096343224736,"G03CA57","",60,0.437956204379562
"29","dabigatran","","dyspepsia, gastritis-like symptoms, hemorrhage, abdominal pain","150 mg twice daily","","","Suggestion from a pharmaceutical company","http://cleanmeds.ca/wp-content/uploads/2016/08/Dabigatran_P.docx","Added on August, 2016",4.34993573607264,2.48947346502265,1.74733163345168,0.0830960696774215,0.844819646047036,0.839731765589561,"B01AE07","",14,0.102189781021898
"30","dexamethasone","CI:ear: viral infections of external canal, including herpes simplex infections CI:eye: epithelial herpes simplex (dendritic keratitis), vaccinia, varicella Eye: Consider Opthalmology consult if uncertain Prolonged use may result in ocular HTN and/or glaucoma","ear discomfort/pain/pruritus/debris/congestion, taste perversion, superimposed ear infection, glaucoma with optic nerve damage, visual acuity and field defects, cataract formation, secondary ocular infection, globe perforation","ear - 0.1% 4 drops twice a day, eye -0.1% 1 or 2 drops 4-6 times daily","Diodex,Maxidex,Ozurdex","medicines for pain and palliative care","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",2.53069819807765,3.2969584768715,0.767585705379899,0.444216402251382,0.841700600242212,0.836510455987858,"H02AB02","R01AD03",131,0.956204379562044
"31","diltiazem","CI: hypotension, WPW, post-MI DI: CYP3A4, amiodarone, alcohol, carbamazepine, cyclosporine, digoxin, dofetilide, erythromycin, grapefruit juice, lithium,    simvastatin","palpitations, headache","120 or 240 mg once daily","ACT Diltiazem CD,ACT Diltiazem T,Apo-Diltiaz,Apo-Diltiaz CD,Apo-Diltiaz SR,Apo-Diltiaz TZ,Cardizem CD,Diltiazem Hydrochloride Injection,Diltiazem TZ,Diltiazem-CD,PMS-Diltiazem CD,Sandoz-Diltiazem CD,Sandoz-Diltiazem T,Teva-Diltiazem,Teva-Diltiazem CD,Teva-Diltiazem HCL ER Capsules,Tiazac,Tiazac XC","cardiovascular medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Diltiazem_C.docx","Added on August, 2015",1.24539598430372,1.57767730501528,0.789385751030789,0.431418049449536,0.841744417472793,0.836555709848951,"C08DB01","",63,0.45985401459854
"32","dolutegravir","CI:hypersensitivity to dolutegravir, concurrent use with dofetilideDI:Dofetilide,Fosphenytoin-Phenytoin,Nevirapine,Oxcarbazepine,Phenobarbital, Primidone, St John's Wort","fatigue, malaise, fat redistribution, immune reconstitiution syndrome, increased liver enzymes","50mg once daily","Tivicay","anti-infective medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Dolutegravir_C.docx","Added on June, 2016",8.12677934801099,4.60875559935101,1.7633348466461,0.0803476244604202,0.844889331757911,0.839803736077843,"J05AX12","",3,0.0218978102189781
"33","domperidone","CI: prolactin-releasing pituitary tumor, known existing prolongation of cardiac conduction intervals, particularly QT DI: ketoconazole, erythromycin, protease inhibitors, nefazodone, concomitant use with GT-prolonging drugs","serious ventricular arrhythmias or sudden cardiac death, particularly with doses >30 mg or when used in patients >60 years of age","10 mg three times a day","","","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Domperidone_C.docx","Added on August, 2016",-1.63566465751211,1.49647891664683,-1.09300882178625,0.27654348190823,0.84247861439011,0.837313978796343,"A03FA03","",51,0.372262773722628
"34","donepezil","CI: hypersensitivity to donepezil, piperidine derivatives, or any component of the formulation DI:QTc-Prolonging Agents,succinylcholine","insomina, nausea, diarrhea, infection","5 mg once daily","","","Commonly prescribed medication","http://cleanmeds.ca/wp-content/uploads/2016/08/Donepezil_AU.docx","Added on August, 2016",1.32861125287277,1.92452106774301,0.690359422477457,0.491279464818815,0.841555076963613,0.836360161454223,"N06DA02","",28,0.204379562043796
"35","doxycycline","CI:children, pregnancy DI:antacids, iron containing drugs, oral contraceptives, phenytoin, barbituates May cause permanent discoloration of the teeth if used during tooth development","anorexia, nausea, vomiting, hepatotoxicity, maculopapular /erythematosus rash, stevens-johnson syndrome, toxic epidermal necrolysis, urticaria, anaphylaxis, pericarditis, hemolytic anemia, thrombocytopenia, neutropenia, eosinophilia, photosensitivity","100mg twice a day","Apo-Doxy,Apo-Doxy Tabs,Apprilon,Dom-Doxycycline,Doxycin,Doxytab,Periostat,PHL-Doxycycline,PMS-Doxycycline,Teva-Doxycycline,Vibramycin","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",11.1222622418518,5.56696887775213,1.9979027161982,0.0479514825413764,0.845975505533787,0.840925522108665,"J01AA02","",135,0.985401459854015
"36","efavirenz","CI: Hypersensitivity (Stevens-Johnson syndrome; erythema multiforme; toxic skin eruptions) to efavirenz DI: Amodiaquine, Asunarevir,Axitinib, Azelastine, Bedaquiline,Cabamazepine,Elvitegravir, Itraconzole, Ketoconazole,Nevirapine, Nisoldipine","dizziness, fever, depression, insomnia, skin rash, increased serum cholesterol, increased HDL, increased triglyceride, fat restribution, hepatotoxicity, immune reconstitution syndrome","600 mg once daily","Mylan-Efavirenz,Sustiva,Teva-Efavirenz","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",-1.60960082700964,1.8954958441037,-0.849171382789689,0.397449147245687,0.841870745071111,0.836686179335737,"J05AG03","",111,0.81021897810219
"37","eletriptan","CI: coronary artery disease, WPW syndrome, uncontrolled HTN, TIA or stroke, peripheral vascular disease DI: SSRIs, SNRIs, TCAs, MAOIs (serotonin syndrome), ketoconazole, itraconazole, nefazodone, troleandomycin, clarithromycin, ritonavir, or nelfinavir","dizziness, somnolence, nausea, headache, paresthesia, dry mouth, chest pain","20mg once daily","Relpax","antimigraine medicines","Suggestion from clinicians","http://cleanmeds.ca/wp-content/uploads/2016/08/Eletriptan_C.docx","Added on August, 2015",5.82823338725953,2.77630844833325,2.09927444868689,0.0378539987855948,0.846481587009323,0.841448196419465,"N02CC06","",10,0.072992700729927
"38","emtricitabine","CI:hypersensitivity to emtricitabine                                     DI: Ganciclovir-Valganciclovir, Lamivudine, Ribavirin","dizziness, headache, insomnia, skin rash, hyperpigmentation, nausea, vomiting, diarrhea, abdominal pain, infection, weakness, otitis media, cough, rhinitis, fat redistribution, immune reconstitution syndrome, lactic acidosis, hepatomegaly","200mg once daily","Emtriva","anti-infective medicines","WHO Model List of Essential Medicines","http://www.who.int/medicines/publications/essentialmedicines/EML_2015_FINAL_amended_NOV2015.pdf?ua=1","Added on August, 2015",0.137835958022176,1.45362595050719,0.0948221638270027,0.924611647263571,0.840947829743832,0.835733004489532,"J05AF09","",51,0.372262773722628
"39","estradiol","CI: hypersensitivity, undiagnosed abnormal genital bleeding, current or history of DVT/PE, breast cancer, estrogen-dependent tumor, hepatic impairment, known thrombophilic disorders DI: acetaminophen, anticonvulsants, ascorbic acid, atorvastatin, rifampin, troglitazone","bloating, headache, nausea, chloasma, breast tenderness, breakthrough bleeding/spotting","oral preparation: 0.5-2 mg once daily, vaginal cream: insert 2 to 4 g daily for 1 to 2 weeks, vaginal tablet: insert 1 tablet (10 mcg) once daily for 2 weeks","Climara,Depo-Estradiol,Divigel,Estradot,EstroGel,Menostar,Oesclim,Sandoz-Estradiol Derm 100,Sandoz-Estradiol Derm 50,Sandoz-Estradiol Derm 75","hormones, other endocrine medicines, and contraceptives","Commonly prescribed medication - oral preparation & suggestion from clinicians - intravaginal application","http://cleanmeds.ca/wp-content/uploads/2017/03/Estradiol_oral_intravagial_Both.pdf","oral preparation - added on March 2016 - oral preparation & intravaginal application - added on March 2017",2.68020847175557,1.54709528213707,1.73241331849535,0.0857271844347845,0.844755200999716,0.83966520758987,"G03CA03","",63,0.45985401459854
